Product_name,Product_Description,Specifications,Average_Review,Total_Review_and_ratings,original_price,selling_price,Product_URL
"Apple iPhone 6s (Silver, 32 GB)4.55,533 Ratings & 674 Reviews32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year","Apple iPhone 6s (Silver, 32 GB)4.55,533 Ratings & 674 Reviews32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year₹29,799₹29,900Up to ₹21,000 Off on ExchangeEMI starting from ₹990/monthOffersNo Cost EMISpecial PriceBank Offer",4.5,"4.55,533 Ratings & 674 Reviews","5,533 Ratings ","29,799","29,799₹29,900",https://www.flipkart.com/apple-iphone-6s-silver-32-gb/p/itmen2yyhbbky4nu?pid=MOBEN2YYDY9YZHFT&srno=s_5_117&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBEN2YYDY9YZHFTMT6VHO&fm=organic&iid=47861136-03a8-4581-812f-670d41af0cf5.MOBEN2YYDY9YZHFT.SEARCH&qH=a5594894156db043
"Lenovo K9 Note (Black, 64 GB)","Lenovo K9 Note (Black, 64 GB)4.255 Ratings & 2 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) HD+ Display16MP + 2MP | 8MP Front Camera3760 mAh BatteryQualcomm Snapdragon SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) HD+ Display16MP + 2MP | 8MP Front Camera3760 mAh BatteryQualcomm Snapdragon SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2,55 Ratings ,"11,999","9,999",https://www.flipkart.com/lenovo-k9-note-black-64-gb/p/itmf9wa8ysrrm4ky?pid=MOBF9WA8JAFFZEYY&srno=s_5_118&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF9WA8JAFFZEYY0CPJF6&fm=organic&iid=161737dc-9a9d-4095-8cf3-b92d6c1c278f.MOBF9WA8JAFFZEYY.SEARCH&qH=a5594894156db043
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","Apple iPhone XR ((PRODUCT)RED, 64 GB)4.61,864 Ratings & 179 Reviews64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year",64 GB ROM |15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,864 Ratings ","76,900","59,900",https://www.flipkart.com/apple-iphone-xr-product-red-64-gb/p/itmf9z7zhydhtbn5?pid=MOBF9Z7ZRWGTX3FA&srno=s_5_119&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF9Z7ZRWGTX3FAWC8NB0&fm=organic&iid=2c359571-c453-444c-a25a-d12b13344e06.MOBF9Z7ZRWGTX3FA.SEARCH&qH=a5594894156db043
"Micromax Bharat 5 Infinity Edition (Rose Gold, 16 GB)","Micromax Bharat 5 Infinity Edition (Rose Gold, 16 GB)3.91,184 Ratings & 142 Reviews1 GB RAM | 16 GB ROM | Expandable Upto 32 GB13.84 cm (5.45 inch) Display5MP Rear Camera | 5MP Front Camera5000 mAh Polymer BatteryMT6739 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",1 GB RAM | 16 GB ROM | Expandable Upto 32 GB13.84 cm (5.45 inch) Display5MP Rear Camera | 5MP Front Camera5000 mAh Polymer BatteryMT6739 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.9,"1,184 Ratings ","6,999","4,749",https://www.flipkart.com/micromax-bharat-5-infinity-rose-gold-16-gb/p/itmfb6zkkpjwzm9h?pid=MOBFB6ZKRETWCZKG&srno=s_5_120&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFB6ZKRETWCZKG2C884Z&fm=organic&iid=6440933f-e5ed-4051-bc18-bd10186e64ac.MOBFB6ZKRETWCZKG.SEARCH&qH=a5594894156db043
"Apple iPhone X (Space Gray, 64 GB)","Apple iPhone X (Space Gray, 64 GB)4.65,559 Ratings & 552 Reviews64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year","64 GB ROM |14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year",4.6,"5,559 Ratings ","91,900","66,499",https://www.flipkart.com/apple-iphone-x-space-gray-64-gb/p/itmexrgv6hctyrav?pid=MOBEXRGVCMGVCGGQ&srno=s_6_121&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBEXRGVCMGVCGGQFLD1LA&fm=organic&iid=bbb340a6-8b8b-4f7a-b2f6-532a35bbf4a3.MOBEXRGVCMGVCGGQ.SEARCH&qH=a5594894156db043
"Samsung Galaxy J6 Plus (Black, 64 GB)","Samsung Galaxy J6 Plus (Black, 64 GB)4.34,116 Ratings & 360 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.24 cm (6 inch) HD+ Display13MP + 5MP | 8MP Front Camera3300 mAh BatteryQualcomm Snapdragon SD425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.24 cm (6 inch) HD+ Display13MP + 5MP | 8MP Front Camera3300 mAh BatteryQualcomm Snapdragon SD425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3,"4,116 Ratings ","13,800","12,990",https://www.flipkart.com/samsung-galaxy-j6-plus-black-64-gb/p/itmf94bxgyhuzx4y?pid=MOBF94BX8HBYHDFC&srno=s_6_122&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF94BX8HBYHDFCKYBL59&fm=organic&iid=03b12e8b-7423-444d-87b2-870d519c82c0.MOBF94BX8HBYHDFC.SEARCH&qH=a5594894156db043
"Mobiistar C1 Lite (Gold, 8 GB)4.1299 Ratings & 45 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 128 GB13.56 cm (5.34 inch) Display5MP Rear Camera | 5MP Front Camera2700 mAh Battery1 Year on Handset & 6 Months on Accessories","Mobiistar C1 Lite (Gold, 8 GB)4.1299 Ratings & 45 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 128 GB13.56 cm (5.34 inch) Display5MP Rear Camera | 5MP Front Camera2700 mAh Battery1 Year on Handset & 6 Months on Accessories₹3,849₹3,9993% offEMI starting from ₹128/monthOffersSpecial PriceBank Offer",4.1,4.1299 Ratings & 45 Reviews,299 Ratings ,"3,849","3,849₹3,9993% off",https://www.flipkart.com/mobiistar-c1-lite-gold-8-gb/p/itmf9zy2wqgke3yd?pid=MOBF9NAGCHFHFAWV&srno=s_6_123&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF9NAGCHFHFAWVXENYLF&fm=organic&iid=c02a5614-8e55-4427-84a7-cc7243d4cca3.MOBF9NAGCHFHFAWV.SEARCH&qH=a5594894156db043
"XOLO Era 4x (Black, 16 GB)","XOLO Era 4x (Black, 16 GB)4.1164 Ratings & 15 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 32 GB13.84 cm (5.45 inch) HD+ Display8MP Rear Camera | 5MP Front Camera3000 mAh Battery1 Year Brand Warranty",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB13.84 cm (5.45 inch) HD+ Display8MP Rear Camera | 5MP Front Camera3000 mAh Battery1 Year Brand Warranty,4.1,164 Ratings ,"7,199","5,199",https://www.flipkart.com/xolo-era-4x-black-16-gb/p/itmfdt23n2fmd9ep?pid=MOBFDS2PPZEZSXWN&srno=s_6_124&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBFDS2PPZEZSXWNH5RQPF&fm=organic&iid=bad2190c-707f-48d1-ad4a-1b65c996f471.MOBFDS2PPZEZSXWN.SEARCH&qH=a5594894156db043
"Samsung Galaxy A8 Star (Black, 64 GB)4.3268 Ratings & 30 Reviews6 GB RAM | 64 GB ROM |16.0 cm (6.3 inch) Display24MP Rear Camera3700 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","Samsung Galaxy A8 Star (Black, 64 GB)4.3268 Ratings & 30 Reviews6 GB RAM | 64 GB ROM |16.0 cm (6.3 inch) Display24MP Rear Camera3700 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase₹19,690₹21,95010% offEMI starting from ₹654/monthOffersSpecial PriceBank Offer",4.3,4.3268 Ratings & 30 Reviews,268 Ratings ,"19,690","19,690₹21,95010% off",https://www.flipkart.com/samsung-galaxy-a8-star-black-64-gb/p/itmfaa8wdges3v7y?pid=MOBF8WMQ2UY95V2V&srno=s_6_125&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF8WMQ2UY95V2VA9UZ1M&fm=organic&iid=4b26d631-0fab-4295-a04b-1280feb65b97.MOBF8WMQ2UY95V2V.SEARCH&qH=a5594894156db043
"Honor 7C (Gold, 64 GB)4.2404 Ratings & 32 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) Display13MP + 2MP | 8MP Front Camera3000 mAh BatteryQualcomm SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","Honor 7C (Gold, 64 GB)4.2404 Ratings & 32 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) Display13MP + 2MP | 8MP Front Camera3000 mAh BatteryQualcomm SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹9,950₹10,4995% offEMI starting from ₹331/monthOffersSpecial PriceBank Offer",4.2,4.2404 Ratings & 32 Reviews,404 Ratings ,"9,950","9,950₹10,4995% off",https://www.flipkart.com/honor-7c-gold-64-gb/p/itmf9w6bne6wgmtg?pid=MOBF3T87SAWXCH5E&srno=s_6_126&otracker=AS_QueryStore_OrganicAutoSuggest_0_8&otracker1=AS_QueryStore_OrganicAutoSuggest_0_8&lid=LSTMOBF3T87SAWXCH5E1OLXL0&fm=organic&iid=8264f8e2-0034-483d-a736-ed94dd5efb1c.MOBF3T87SAWXCH5E.SEARCH&qH=a5594894156db043
